x KEYWORD IDENTIFIER CONSTANTLITERAL OPERATOR PUNCTUATOR COMMENT PREPROCESSOR CONSTANTCHAR CONSTANTSTRING ERROR 
0-50 0 0 0 0 0 1 38 0 0 0 
50-100 6 2 0 1 6 0 45 0 0 0 
100-150 22 26 0 6 31 8 2 0 0 0 
150-200 34 63 4 26 94 2 0 2 5 0 
200-250 28 46 9 15 75 4 0 2 3 0 
250-300 30 52 10 15 86 4 0 2 1 0 
300-350 26 58 6 12 93 4 0 0 3 0 
350-400 21 43 7 5 64 3 2 0 1 0 
400-450 12 64 3 25 94 5 0 0 3 0 
450-500 22 37 5 1 58 5 2 0 1 0 
500-550 4 48 0 5 100 3 0 0 3 0 
550-600 2 30 6 4 74 5 0 0 2 0 
600-650 1 29 0 1 78 5 0 0 2 0 
650-700 5 46 1 6 122 1 6 0 1 0 
700-750 18 60 2 21 99 3 3 0 2 0 
750-800 25 55 2 7 75 1 2 2 3 0 
800-850 22 71 5 3 128 0 0 0 5 0 
850-900 16 60 3 11 88 1 0 0 8 0 
900-950 25 39 1 10 69 2 0 0 0 0 
950-1000 21 45 0 6 80 1 5 0 4 0 
1000-1050 11 35 3 10 67 4 0 0 8 0 
1050-1100 9 26 6 5 73 3 0 0 3 0 
